date,agency,sku,volume,industry_volume,soda_volume,avg_max_temp,price_regular,price_actual,discount,avg_population_2017,avg_yearly_household_income_2017,easter_day,good_friday,new_year,christmas,labor_day,independence_day,revolution_day_memorial,regional_games,beer_capital,music_fest,discount_in_percent
2017-01-01,Agency_01,SKU_01,40.931999999999995,562154016,845614054,25.82479696,1600.063324,1402.351418,197.711906,153733,120207,0,0,1,0,0,0,0,0,0,0,12.356505085419982
2017-02-01,Agency_01,SKU_01,45.576,530252010,850913048,23.43324882,1620.772215,1407.878999,212.893216,153733,120207,0,0,0,0,0,0,0,0,0,0,13.135295264177516
2017-03-01,Agency_01,SKU_01,47.736,613143990,886129111,26.35735671,1605.027149,1400.583711,204.443438,153733,120207,0,0,0,0,0,0,0,0,0,1,12.737693448199732
2017-04-01,Agency_01,SKU_01,63.72,589969396,940912941,29.24749309,1595.157309,1271.6471390000002,323.51017,153733,120207,1,1,0,0,0,0,0,0,0,0,20.280769061128375
2017-05-01,Agency_01,SKU_01,60.696000000000005,628759461,917412482,31.12969186,1672.635787,1391.237879,281.39790800000003,153733,120207,0,0,0,0,1,0,0,0,0,0,16.823621148553126
2017-06-01,Agency_01,SKU_01,84.24,636846973,928366256,39.05925926,1687.040865,1406.751362,280.28950299999997,153733,120207,0,0,0,0,0,0,0,0,0,0,16.61426873616366
2017-07-01,Agency_01,SKU_01,59.292,670015726,926635433,35.84444444,1688.7961059999998,1397.5391619999998,291.256944,153733,120207,0,0,0,0,0,0,0,0,0,0,17.246424418271367
2017-08-01,Agency_01,SKU_01,66.42,623319783,1049868815,32.16666667,1689.8695120000002,1399.454675,290.41483700000003,153733,120207,0,0,0,0,0,0,0,0,0,0,17.18563681619933
2017-09-01,Agency_01,SKU_01,95.904,604571152,984438234,33.92,1690.939823,1184.708404,506.231419,153733,120207,0,0,0,0,0,1,0,0,0,0,29.93787313506307
2017-10-01,Agency_01,SKU_01,52.812,616747012,996763883,32.848,1688.08602,1278.350951,409.735069,153733,120207,0,0,0,0,0,0,0,0,0,0,24.27216765884952
2017-11-01,Agency_01,SKU_01,37.908,592195062,967899589,31.531999999999996,1622.877493,1341.864851,281.01264199999997,153733,120207,0,0,0,0,0,0,1,0,1,0,17.315702707819856
2017-12-01,Agency_01,SKU_01,35.532,618073219,919709619,19.40365464,1663.797492,1390.112272,273.68522,153733,120207,0,0,0,1,0,0,0,0,0,0,16.449430974379663
2017-01-01,Agency_01,SKU_02,20.52,562154016,845614054,25.82479696,1572.897039,1362.967434,209.929605,153733,120207,0,0,1,0,0,0,0,0,0,0,13.346684480598098
2017-02-01,Agency_01,SKU_02,22.896,530252010,850913048,23.43324882,1564.061026,1375.106427,188.954599,153733,120207,0,0,0,0,0,0,0,0,0,0,12.08102470804742
2017-03-01,Agency_01,SKU_02,23.436,613143990,886129111,26.35735671,1546.349367,1352.851671,193.497696,153733,120207,0,0,0,0,0,0,0,0,0,1,12.513193986388456
2017-04-01,Agency_01,SKU_02,30.671999999999997,589969396,940912941,29.24749309,1555.878961,1252.93684,302.942121,153733,120207,1,1,0,0,0,0,0,0,0,0,19.47080258770849
2017-05-01,Agency_01,SKU_02,29.808000000000003,628759461,917412482,31.12969186,1664.514946,1376.058877,288.456069,153733,120207,0,0,0,0,1,0,0,0,0,0,17.329737392457154
2017-06-01,Agency_01,SKU_02,43.848,636846973,928366256,39.05925926,1686.823276,1385.366225,301.457051,153733,120207,0,0,0,0,0,0,0,0,0,0,17.87128831390396
2017-07-01,Agency_01,SKU_02,32.508,670015726,926635433,35.84444444,1687.5116280000002,1376.843231,310.668397,153733,120207,0,0,0,0,0,0,0,0,0,0,18.409852225326414
2017-08-01,Agency_01,SKU_02,26.892,623319783,1049868815,32.16666667,1687.905121,1382.320031,305.58509,153733,120207,0,0,0,0,0,0,0,0,0,0,18.104399719988763
2017-09-01,Agency_01,SKU_02,36.611999999999995,604571152,984438234,33.92,1686.5743,1245.566556,441.00774400000006,153733,120207,0,0,0,0,0,1,0,0,0,0,26.1481361360718
2017-10-01,Agency_01,SKU_02,32.94,616747012,996763883,32.848,1687.233292,1287.447814,399.785478,153733,120207,0,0,0,0,0,0,0,0,0,0,23.694736222642053
2017-11-01,Agency_01,SKU_02,24.191999999999997,592195062,967899589,31.531999999999996,1672.707589,1351.380859,321.32673,153733,120207,0,0,0,0,0,0,1,0,1,0,19.209976215394573
2017-12-01,Agency_01,SKU_02,17.172,618073219,919709619,19.40365464,1697.575472,1412.680031,284.895441,153733,120207,0,0,0,1,0,0,0,0,0,0,16.782490422316847
2017-01-01,Agency_01,SKU_03,18.305999999999997,562154016,845614054,25.82479696,1625.828171,1452.0807519999998,173.747419,153733,120207,0,0,1,0,0,0,0,0,0,0,10.686702451042718
2017-02-01,Agency_01,SKU_03,14.15325,530252010,850913048,23.43324882,1626.418896,1461.1352869999998,165.283609,153733,120207,0,0,0,0,0,0,0,0,0,0,10.162425523123042
